"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b1598",134,131,106,252,142,174
"b1599",21,18,26,36,16,35
"b1600",17,37,15,15,6,16
"b1601",113,99,74,128,83,111
"b1602",7033,7943,7098,9067,6438,7756
"b1603",8330,9348,8950,11105,7693,9465
"b1604",1137,1139,1090,1757,1192,1459
"b1605",40,56,26,48,30,34
"b1606",151,162,107,232,185,181
"b1607",76,82,44,138,101,98
"b1608",291,258,289,777,458,648
"b1609",228,279,224,597,407,474
"b1610",129,117,83,144,114,130
"b1611",268,270,263,238,161,227
"b1612",567,509,423,458,323,510
"b1613",480,502,488,1063,811,902
"b1614",1389,1391,1368,1577,1080,1332
"b1615",10,9,5,20,9,9
"b1616",5,8,7,17,10,8
"b1617",13,26,9,30,21,21
"b1618",147,164,123,244,191,193
"b1619",408,398,435,689,483,597
"b1620",45,63,46,94,51,96
"b1621",48,52,51,112,77,80
"b1622",152,182,184,293,240,242
"b1623",156,163,164,347,215,272
"b1624",498,542,484,1017,697,856
"b4409",14,26,12,31,20,29
"b1625",80,101,82,121,75,79
"b1626",150,128,125,234,154,185
"b1627",125,119,75,266,171,215
"b1628",140,136,81,263,172,185
"b1629",537,495,379,848,567,696
"b1630",119,142,66,176,132,149
"b1631",95,126,70,198,123,157
"b1632",67,105,55,156,91,127
"b1633",105,114,65,136,117,133
"b1634",71,55,52,141,117,120
"b1635",398,327,384,855,704,706
"b1636",344,360,250,659,491,643
"b1637",1844,1860,1859,3370,2473,2903
"b1638",351,311,286,715,482,568
"b1639",33,21,16,40,32,37
"b1640",174,187,175,295,210,231
"b1641",1567,1510,1587,2800,1999,2335
"b1642",508,525,480,876,657,745
"b1643",22,38,15,31,15,16
"b1644",48,41,47,45,36,39
"b1645",80,112,80,134,69,79
"b1646",149,159,138,155,123,123
"b1647",195,203,243,338,239,309
"b1648",17,9,18,42,22,27
"b1649",39,51,26,54,31,38
"b1650",207,216,187,273,211,196
"b1651",377,369,400,621,427,494
"b1652",165,171,131,272,174,257
"b1653",439,463,384,925,593,784
"b1654",358,434,342,458,307,546
"b1655",209,166,157,361,236,325
"b1656",249,184,214,158,137,254
"b1657",120,110,122,183,113,158
"b4602",22,16,20,20,16,16
"b1658",922,881,793,1236,940,1065
"b1659",130,119,72,208,108,149
"b1660",58,52,29,72,50,73
"b1661",1745,1641,1686,3223,2369,2715
"b1662",432,415,470,751,521,622
"b1663",255,231,225,473,299,410
"b1664",521,495,527,1036,790,943
"b1667",333,386,304,800,606,640
"b1668",146,140,124,118,87,85
"b1669",18,31,25,51,47,35
"b1670",17,25,14,34,29,35
"b1671",18,19,14,36,23,19
"b1672",15,18,15,24,15,31
"b1673",18,21,17,35,14,22
"b1674",6,5,11,7,0,5
"b1675",31,33,25,38,35,43
"b1676",3175,3055,2796,4455,3083,3475
"b1677",22024,20876,19880,23698,15963,18238
"b1678",539,542,573,611,426,461
"b1679",301,314,244,872,504,558
"b1680",1121,1390,940,3328,2053,2291
"b1681",1393,1731,1216,3998,2521,2911
"b1682",599,672,516,1582,1029,1157
"b1683",1510,1807,1378,4696,3110,3344
"b1684",367,448,443,1168,850,881
"b1685",99,88,72,194,162,180
"b1686",209,253,222,405,320,426
"b1687",1676,1939,1640,2934,2205,2934
"b1688",268,217,219,534,360,441
"b1689",3,4,4,2,0,7
"b1690",4,9,6,12,4,10
"b1691",3,5,8,8,6,8
"b1692",13,14,11,9,13,17
"b1693",235,231,265,502,291,444
"b1694",20,24,23,25,17,23
"b1695",24,22,24,29,19,28
"b1696",50,63,44,88,53,96
"b1697",10,11,3,26,7,17
"b1698",13,15,14,33,15,18
"b1699",14,18,16,39,19,19
"b1700",1,4,0,4,5,4
"b1701",49,44,43,112,72,113
"b1702",2572,2570,2394,12300,9035,11214
"b1703",312,308,344,746,491,588
"b1704",617,714,422,1316,1122,1211
"b1705",70,74,68,148,101,136
"b1706",463,592,276,1464,992,1048
"b1707",128,149,123,316,216,253
"b1708",165,226,236,331,227,288
"b1709",298,251,259,497,372,377
"b1710",232,232,180,389,312,313
"b1711",85,122,88,258,181,236
"b1712",1330,1414,1248,1646,1265,1330
"b1713",3731,4413,3840,4324,3125,3916
"b1714",1723,2010,1579,1810,1238,1578
"b1715",17,16,11,23,7,16
"b1716",6666,7746,5655,8126,6327,7114
"b1717",8299,9406,6168,10032,7343,8659
"b1718",6746,6931,6600,8860,6503,7423
"b1719",6939,7708,7513,10957,8085,9882
"b4535",7,6,3,9,5,8
"b1722",221,272,154,166,139,122
"b1723",127,122,118,668,386,576
"b1724",106,71,106,158,98,132
"b1725",270,242,243,378,269,315
"b1726",153,204,101,282,189,242
"b1727",214,192,230,421,255,330
"b1728",28,18,10,15,9,19
"b1729",2142,2120,1537,4167,3158,3393
"b1730",130,90,46,263,127,138
"b1731",20,17,14,33,21,25
"b1732",1151,823,854,568,396,480
"b1733",61,64,54,125,94,91
"b1734",32,42,42,58,43,52
"b1735",37,52,46,67,43,73
"b1736",21,16,18,24,15,20
"b1737",14,32,30,44,16,26
"b1738",38,34,34,68,36,50
"b1739",651,624,760,345,246,250
"b1740",1234,1248,1258,1994,1388,1757
"b1741",168,174,147,248,148,180
"b1742",172,194,187,193,167,132
"b1743",55,66,52,266,192,270
"b1744",22,18,14,6,9,6
"b1745",43,46,29,33,22,27
"b1746",37,46,25,32,15,21
"b1747",34,42,20,8,2,11
"b1748",56,49,44,18,7,5
"b1749",293,302,251,517,338,402
"b1750",26,35,38,59,39,48
"b1751",24,13,31,20,13,21
"b1752",18,25,21,29,15,20
"b1753",38,33,34,72,40,40
"b1754",93,102,102,184,118,152
"b1755",47,54,36,86,46,68
"b1756",41,44,19,46,39,41
"b1757",91,113,162,163,109,126
"b1758",38,50,35,72,50,65
"b1759",171,188,187,182,147,109
"b1760",145,106,147,106,107,90
"b1761",7731,9488,8373,9630,7208,7897
"b1762",272,322,245,315,227,242
"b1763",774,835,727,1263,955,1124
"b1764",1036,1119,1085,1733,1182,1389
"b1765",437,469,420,622,454,543
"b1766",538,553,402,802,565,691
"b1767",368,379,319,640,449,522
"b1768",219,209,165,328,282,274
"b1769",41,32,28,51,28,41
"b1770",55,58,59,85,58,82
"b1771",17,32,19,20,18,30
"b1772",15,20,14,27,14,20
"b1773",16,9,5,21,9,23
"b1774",15,16,11,10,10,14
"b1775",13,12,7,15,2,8
"b1776",19,19,16,26,18,23
"b1777",255,286,206,302,230,308
"b1778",394,411,368,540,358,568
"b1779",21541,24825,23781,33809,25319,29951
"b1780",449,575,498,775,594,648
"b1781",134,97,87,191,144,209
"b1782",1314,1377,1161,2732,2018,2589
"b1783",1150,1067,1200,757,520,591
"b1784",308,248,305,207,130,143
"b1785",9,16,3,9,6,12
"b1786",41,61,29,81,65,86
"b1787",233,229,250,502,380,406
"b1788",42,38,61,107,66,93
"b1789",49,37,32,80,66,50
"b1790",47,45,48,86,56,79
"b1791",47,32,36,66,32,53
"b1792",119,151,100,206,112,137
"b1793",56,46,42,134,72,80
"b1794",478,447,430,955,699,847
"b4676",59,39,33,61,45,50
"b4675",13,9,8,23,7,16
"b1795",527,415,388,282,221,275
"b1796",1,3,1,3,4,3
"b1797",4,8,0,12,7,10
"b1798",19,23,12,39,31,53
"b1799",94,101,93,191,102,156
"b1800",58,66,57,108,67,75
"b1801",7,14,8,9,13,7
"b1802",9,13,5,15,14,9
"b1803",30,22,24,47,13,22
"b1804",196,222,193,260,187,186
"b1805",184,214,155,170,136,185
"b1806",180,200,145,241,150,181
"b1807",243,246,223,207,179,209
"b1808",260,258,203,380,240,304
"b1809",372,416,366,637,397,506
"b1810",71,90,73,81,67,81
"b1811",43,54,45,120,73,93
"b1812",186,201,186,417,291,392
"b1813",118,135,102,240,153,197
"b1814",122,159,128,237,181,187
"b1815",49,54,41,121,72,74
"b1816",366,375,263,960,603,761
"b4751",14,15,7,23,16,15
"b1817",2014,2348,2273,5742,3767,4751
"b1818",1709,2069,2061,5208,3640,4261
"b1819",1855,2294,2328,5587,3636,4523
"b1820",69,81,45,175,120,135
"b1821",17,21,16,31,15,33
"b1822",115,110,91,146,110,173
"b1823",2555,3195,2738,3396,2568,3059
"b1824",371,304,403,378,252,298
"b1825",243,253,160,561,358,444
"b1826",51,54,55,152,86,103
"b4536",45,39,34,58,38,53
"b1827",400,423,458,793,600,610
"b1828",26,43,20,39,18,27
"b1829",733,834,688,1416,1020,1257
"b1830",2315,2534,2064,3475,2491,2946
"b1831",2277,2174,1950,3138,2329,2869
"b1832",820,716,602,1122,690,930
"b1833",108,129,74,168,117,109
"b1834",339,353,286,597,360,496
"b1835",174,181,130,309,198,232
"b1836",222,185,125,172,110,138
"b1837",16,6,19,39,19,15
"b1838",28,35,27,57,36,43
"b1839",273,294,252,535,414,539
"b1840",343,417,344,712,501,605
"b1841",223,241,166,418,290,323
"b1842",138,139,98,239,168,228
"b1843",92,100,118,191,142,218
"b1844",145,166,181,374,249,302
"b1845",239,263,236,381,265,323
"b1846",69,86,73,140,109,124
"b1847",199,244,193,218,118,194
"b1848",123,136,89,141,97,128
"b1849",697,740,522,1187,919,1058
"b1850",536,510,445,1078,748,885
"b1851",397,435,467,646,510,617
"b1852",2125,2262,2198,3901,2734,3205
"b1853",166,167,134,290,179,241
"b1854",1470,1394,1706,2712,2069,2457
"b1855",211,190,173,340,266,316
"b1856",268,302,211,453,393,438
"b1857",276,348,296,401,416,332
"b1858",123,183,117,226,192,196
"b1859",90,80,81,131,143,111
"b1860",245,228,262,458,335,371
"b1861",143,140,152,311,166,218
"b4677",1,0,0,1,0,1
"b1862",23,18,22,36,22,39
"b1863",623,678,567,926,678,786
"b1864",1113,1284,1162,1690,1322,1534
"b1865",583,636,531,962,713,832
"b1866",2434,2531,2372,4182,3134,3801
"b1867",153,142,138,258,188,254
"b1868",123,135,111,219,165,205
"b1869",143,156,123,345,252,292
"b1870",251,303,269,504,316,442
"b1871",259,268,217,435,321,353
"b1872",90,88,69,117,83,121
"b1873",6,10,8,15,7,11
"b1874",212,238,194,374,268,331
"b1875",106,79,128,170,87,139
"b1876",934,899,822,1163,833,953
"b1877",39,58,34,45,27,32
"b1878",101,181,72,95,73,88
"b1879",648,805,614,761,534,521
"b1880",506,637,486,485,376,344
"b1881",2320,2557,2483,1381,1310,1017
"b1882",1681,1855,1797,1038,875,713
"b1883",1391,1703,1427,800,811,637
"b1884",1653,1919,1513,1035,934,749
"b1885",4494,4735,4392,2742,2569,2073
"b1886",6843,7440,7665,4380,4022,3350
"b1887",3353,3636,3617,2141,2096,1767
"b1888",6833,7762,7630,4163,3908,3307
"b1889",1792,2075,1875,1037,984,846
"b1890",1597,1692,1374,901,801,667
"b1891",523,527,414,1420,1013,1043
"b1892",225,252,180,571,450,470
"b1893",24,41,31,30,30,32
"b1894",1,4,2,4,0,1
"b1895",21,43,24,57,40,55
"b1896",593,526,539,470,291,412
"b1897",226,225,197,142,113,143
"b4460",61,66,72,105,69,84
"b1900",58,71,53,100,28,62
"b1901",38,27,22,30,19,30
"b1902",97,69,93,190,134,213
"b4537",121,120,90,117,79,119
"b4663",33,22,29,18,11,9
"b1904",81,85,96,89,55,60
"b1905",247,246,277,249,169,267
"b1906",17,10,21,10,8,7
"b1907",132,107,84,165,132,105
"b1908",429,457,472,697,479,569
"b1912",165,196,167,455,312,366
"b1913",881,935,773,1732,1246,1405
"b1914",404,416,424,863,546,664
"b4752",0,3,0,1,0,2
"b1915",35,22,23,25,23,26
"b1916",171,192,151,155,139,153
"b1917",398,383,298,574,437,518
"b1918",310,321,273,518,360,432
"b1919",740,731,660,1198,949,1017
"b1920",3448,3419,3011,4986,3625,3812
"b1921",1990,2165,2289,1484,1245,1178
"b1922",2506,3070,2884,2181,1829,1716
"b1923",101282,108333,109086,57136,53029,43592
"b1924",5595,5935,5883,3766,3353,3011
"b1925",984,1138,1086,712,631,556
"b1926",709,821,718,538,456,388
"b1927",809,940,798,692,525,522
"b1928",193,185,193,294,229,243
"b1929",299,306,249,229,190,271
"b1930",86,81,60,85,44,83
"b1931",15,16,20,16,8,17
"b1932",31,45,33,50,29,30
"b1937",294,303,276,214,167,160
"b1938",1733,1991,1695,1865,1344,1379
"b1939",1175,1647,1114,1326,1060,1031
"b1940",632,911,619,717,577,566
"b1941",984,1257,870,1053,767,879
"b1942",206,311,217,246,195,203
"b1943",789,1117,683,841,604,598
"b1944",799,1092,935,799,601,661
"b1945",1844,2292,1877,1845,1459,1446
"b1946",513,586,490,466,364,371
"b1947",291,336,242,292,229,199
"b1948",251,329,202,283,170,159
"b1949",92,137,47,100,68,64
"b1950",114,151,90,111,95,89
"b1951",72,116,94,93,88,78
"b1952",70,39,36,59,37,45
"b1953",84,56,66,47,37,44
"b1955",127,107,94,131,81,106
"b1956",156,164,167,308,175,242
"b1957",99,111,135,187,109,131
"b1958",256,272,211,379,228,295
"b1959",43,58,34,78,44,53
"b1960",51,51,34,103,82,93
"b1961",326,318,268,549,441,482
"b1962",220,209,210,285,193,262
"b1963",75,48,66,85,56,62
"b1967",636,487,579,528,393,550
"b1968",139,127,102,149,109,135
"b1969",120,124,129,209,127,183
"b1970",74,62,63,30,21,17
"b1971",104,85,114,113,95,106
"b1972",31,42,39,64,42,35
"b1973",66,81,52,82,73,51
"b1974",13,8,21,21,16,11
"b1976",225,233,216,547,375,459
"b1978",176,244,201,431,302,351
"b1981",1811,1714,1483,2494,1708,2120
"b1982",1544,1532,1524,2562,1772,2340
"b1983",424,496,411,684,521,517
"b1985",85,90,79,143,98,106
"b1987",176,141,122,228,169,164
"b1988",50,66,47,48,37,33
"b1990",201,179,169,266,158,216
"b1991",314,320,252,636,445,506
"b1992",166,191,148,350,254,252
"b1993",120,112,115,192,138,154
"b1994",8,13,14,29,16,19
"b1996",18,18,31,29,7,30
"b1997",1,0,0,1,0,2
"b2000",366,390,341,614,455,442
"b2001",43,37,36,87,45,55
"b2002",7,15,9,22,20,19
"b2003",7,5,6,15,6,9
"b2004",5,10,8,13,6,10
"b2005",10,12,5,13,3,5
"b2006",7,4,4,8,3,11
"b4538",25,32,20,36,26,23
"b2007",957,1049,989,1444,978,1157
"b2008",96,85,97,100,73,110
"b2009",117,119,124,131,77,103
"b2010",70,95,61,137,82,113
"b2011",374,401,298,702,524,652
"b2012",312,300,149,705,533,469
"b2013",810,690,522,1504,1110,1071
"b2014",903,837,705,509,392,540
"b4678",40,22,14,8,4,15
"b2015",118,158,113,192,120,144
"b2016",577,704,614,1177,817,973
"b4539",65,77,66,157,105,130
"b2017",105,140,125,239,166,168
"b2018",2,2,5,1,1,4
"b2019",1047,1352,1100,781,613,645
"b2020",1278,1500,1342,1068,697,780
"b2021",1027,1206,1101,783,530,610
"b2022",1179,1403,1336,1030,773,947
"b2023",526,608,598,556,343,442
"b2024",615,638,580,532,340,384
"b2025",537,608,603,442,340,402
"b2026",899,958,851,749,481,606
"b2027",1423,1305,1314,1768,1373,1600
"b2028",145,159,99,108,90,99
"b2029",5267,5501,5357,10971,7641,10088
"b2030",11,6,6,12,4,6
"b2032",393,536,338,592,424,457
"b2033",356,452,344,465,302,418
"b2034",589,705,538,742,531,682
"b2035",355,465,282,515,376,416
"b2036",1040,1059,910,1420,1030,1138
"b2037",506,579,359,481,347,456
"b2038",298,295,205,349,214,289
"b2039",646,800,620,886,625,702
"b2040",637,720,513,711,527,713
"b2041",938,947,779,990,742,896
"b2042",1289,1238,1266,2282,1778,2044
"b2043",66,58,70,85,51,68
"b2044",36,36,26,48,26,41
"b2045",32,24,30,53,23,36
"b2046",21,19,15,20,6,20
"b2047",14,20,10,12,6,15
"b2048",36,28,18,26,16,25
"b2049",27,38,21,27,17,21
"b2050",18,20,19,18,11,16
"b2051",17,6,4,6,5,5
"b2052",24,27,32,25,8,23
"b2053",36,39,44,36,17,20
"b2054",6,6,4,6,4,6
"b2055",9,6,5,5,4,9
"b2056",10,28,8,16,9,5
"b2057",9,22,7,17,18,16
"b2058",6,5,1,9,2,10
"b2059",16,22,8,17,9,13
"b2060",23,30,24,17,16,14
"b2061",6,1,3,0,3,0
"b2062",15,7,11,11,7,14
"b2063",240,234,212,454,354,418
"b2064",501,556,482,991,716,809
"b2065",431,384,378,722,479,592
"b2066",207,162,170,384,254,382
"b2067",429,527,357,588,404,453
"b2068",47,60,41,88,71,73
"b2069",85,71,66,126,57,114
"b2070",35,38,35,80,44,51
"b2071",3,2,2,7,2,3
"b2072",3,9,8,16,2,17
"b2073",6,14,1,8,6,6
"b4667",31,30,24,73,43,65
"b4668",18,17,2,39,28,18
"b2074",59,57,43,180,123,140
"b2075",118,115,89,315,207,271
"b2076",84,95,61,197,133,161
"b2077",41,44,12,80,48,58
"b2078",34,35,35,84,56,87
"b2079",158,138,133,269,153,221
"b2080",104,86,100,90,50,66
"b2081",466,422,308,569,438,551
"b2082",15,22,26,41,28,48
"b2085",20,7,9,15,9,13
"b2086",74,65,66,99,67,79
"b2088",17,21,24,13,15,21
"b2089",33,47,25,102,59,69
"b2091",406,461,457,1235,911,1106
"b2093",983,1354,1098,3611,2537,3498
"b2094",1659,2119,1740,6327,4497,5661
"b2095",7317,9075,7886,27045,19104,23758
"b2096",5315,6257,5628,19176,13424,17035
"b2097",1097,861,906,1485,954,1328
"b2098",28,21,20,36,28,26
"b2099",49,56,52,81,68,83
"b2100",62,78,64,99,92,92
"b2101",60,89,65,145,85,106
"b2102",126,119,89,174,152,154
"b2103",415,457,409,1107,991,792
"b2104",582,655,583,1550,1219,1124
"b2105",18,20,27,34,30,35
"b2106",28,22,22,43,31,44
"b2107",88,98,93,193,130,170
"b2108",11,12,7,9,9,10
"b2109",16,22,12,34,12,38
"b2110",1,4,2,1,0,0
"b2111",2,0,6,3,0,6
"b2112",68,44,35,71,40,36
"b2113",715,726,582,1163,776,1073
"b2114",2305,2421,2042,4621,3244,3987
"b2115",14,9,6,19,16,18
"b2118",85,90,78,129,100,122
"b4541",2,1,1,2,3,2
"b2119",4,1,7,13,4,3
"b2120",8,23,10,34,12,7
"b2121",5,9,6,14,12,5
"b2122",17,27,15,39,24,38
"b2123",12,10,19,18,7,17
"b2124",103,89,77,200,114,155
"b2125",69,74,62,130,102,114
"b2126",111,92,80,143,98,114
"b2127",71,68,81,111,73,74
"b4542",1,5,5,3,5,5
"b2128",69,88,45,117,57,72
"b2129",72,64,57,68,37,45
"b2130",77,76,49,84,43,69
"b2131",125,125,111,128,66,91
"b2132",622,652,646,1008,682,781
"b2133",1450,1518,1338,2982,2157,2353
"b2134",262,284,274,588,438,454
"b2135",33,29,22,64,27,38
"b2136",69,64,32,90,57,71
"b2137",50,49,34,59,53,48
"b4679",10,9,3,10,4,4
"b2140",61,59,52,68,52,61
"b2141",7,8,7,9,15,7
"b2142",30,24,32,62,38,48
"b2143",129,134,143,309,232,210
"b2144",47,51,41,70,90,61
"b2145",39,41,39,85,43,66
"b2146",9,11,10,32,13,24
"b2147",34,28,21,61,31,37
"b2148",76,101,67,80,74,79
"b2149",132,179,121,180,112,156
"b2150",232,247,219,262,248,282
"b2151",28,40,23,48,37,29
"b2152",389,395,253,628,505,578
"b2153",2428,2673,1948,5185,3872,4276
"b2154",1247,1392,1028,2834,2046,2279
"b2155",18818,24330,18062,55645,42949,41584
"b2156",1879,2088,1394,772,536,695
"b2157",150,217,149,171,123,160
"b2158",72,102,85,140,86,95
"b2159",282,292,298,523,365,424
"b2160",188,196,158,343,271,283
"b2161",22,28,16,30,17,16
"b2162",4,10,6,4,1,3
"b2163",3,10,10,18,14,14
"b2164",27,26,21,42,34,46
"b2165",8,9,11,16,13,14
"b2166",3,8,2,11,3,2
"b2167",406,389,499,522,308,480
"b2168",189,180,225,239,135,219
"b2169",146,225,185,183,134,195
"b2170",27,16,15,35,22,15
"b4502",22,12,15,37,19,27
"b2171",289,293,266,284,175,244
"b2172",87,149,75,129,99,141
"b2173",126,99,110,186,151,167
"b2174",90,118,66,155,101,114
"b2175",1268,1322,1076,1791,1310,1605
"b2176",160,182,102,298,188,221
"b2177",166,168,143,306,215,247
"b2178",62,57,43,106,75,76
"b2179",71,89,57,116,91,88
"b2180",318,289,217,464,291,334
"b2181",226,206,177,162,113,126
"b2182",351,345,268,517,344,434
"b2183",377,354,323,489,379,448
"b2184",122,157,96,258,160,181
"b2185",2098,2114,1724,2023,1539,1786
"b2186",438,496,442,806,556,706
"b2187",203,138,139,269,178,228
"b2188",661,680,528,1167,820,968
"b2192",12,7,6,13,13,14
"b2193",136,198,167,174,148,213
"b2194",57,78,80,104,65,84
"b2195",23,27,24,26,26,31
"b2196",88,91,99,132,110,99
"b2197",36,24,40,57,46,41
"b2198",4,7,4,3,9,4
"b2199",58,44,41,72,69,71
"b2200",22,14,22,31,22,29
"b2201",54,55,45,117,72,79
"b2202",16,21,27,38,20,27
"b2203",13,9,24,5,9,9
"b2204",17,17,19,11,9,14
"b2205",7,8,25,7,8,5
"b2206",59,72,134,49,37,50
"b2207",1,3,2,4,0,1
"b2208",6,7,9,9,5,5
"b4604",3,3,3,7,2,2
"b2209",33,44,69,104,67,86
"b2210",592,628,476,913,623,793
"b2211",399,381,351,732,515,594
"b2212",25,30,20,44,30,41
"b2213",89,71,50,133,100,97
"b2214",60,62,54,66,65,58
"b2215",15428,14601,14997,30858,19891,29698
"b2216",877,1075,852,1925,1273,1588
"b2217",1175,1334,1146,2304,1572,2159
"b2218",454,486,350,693,497,573
"b2219",58,42,33,81,41,66
"b2220",56,74,56,132,93,77
"b2221",5,5,4,6,7,7
"b2222",5,5,1,3,2,2
"b2223",11,8,10,22,8,15
"b2224",16,13,16,32,25,22
"b2225",11,13,14,19,11,20
"b2226",33,22,23,43,27,23
"b2229",4,6,7,4,4,2
"b2230",30,21,12,39,19,27
"b2231",3888,4077,3847,5581,4069,4910
"b2232",333,357,286,642,391,507
"b2233",291,304,281,473,352,375
"b4605",2,1,2,0,2,2
"b2234",1891,1921,2070,2776,1857,2489
"b2235",846,829,960,1300,934,1244
"b2236",119,120,118,229,121,202
"b2237",120,151,102,190,151,158
"b2239",487,562,565,977,675,847
"b2240",519,653,476,860,675,826
"b2241",303,328,783,377,269,355
"b2242",207,211,580,274,192,257
"b2243",196,199,625,238,211,260
"b2244",98,74,80,135,103,86
"b2245",53,57,58,75,48,74
"b2246",25,19,16,26,23,31
"b2247",11,9,10,18,5,10
"b2248",2,6,5,9,7,8
"b2249",286,336,246,549,325,420
"b2250",54,67,55,84,50,73
"b2251",16,20,17,61,41,52
"b2252",11,8,4,19,21,15
"b2253",53,43,57,61,45,69
"b2254",28,32,16,46,27,44
"b2255",104,116,94,179,98,138
"b2256",22,20,9,27,19,25
"b2257",24,32,10,37,20,19
"b4544",9,10,10,17,16,17
"b2258",58,54,46,98,65,74
"b2259",46,58,49,106,96,84
"b2260",184,182,141,202,145,195
"b2261",281,290,269,334,263,324
"b2262",345,324,271,405,336,393
"b2263",47,51,36,59,15,33
"b2264",242,255,216,245,162,209
"b2265",362,320,320,438,312,379
"b2266",929,776,703,789,562,548
"b2267",91,92,106,200,136,139
"b2268",106,94,79,146,110,129
"b2269",16,39,15,28,17,23
"b2270",38,34,20,54,47,40
"b2271",4,7,5,6,7,7
"b2272",10,4,10,12,8,7
"b2273",2,11,5,6,0,8
"b2274",7,6,8,9,9,8
"b2275",53,46,35,50,24,50
"b2276",1117,1014,971,912,649,1246
"b2277",1282,1095,1034,984,702,1400
"b2278",1718,1486,1444,1160,885,1865
"b2279",166,148,104,124,91,147
"b2280",502,489,387,368,267,557
"b2281",522,507,454,426,301,654
"b2282",697,664,537,581,381,896
"b2283",2867,2565,2499,2433,1774,3582
"b2284",1408,1299,1207,1450,946,1865
"b2285",688,720,704,743,527,989
"b2286",1981,1776,1565,1956,1447,2529
"b2287",835,704,725,830,649,1068
"b2288",402,367,267,420,372,587
"b2289",355,337,376,847,616,717
"b2290",642,659,641,1058,811,884
"b2291",103,120,103,197,148,174
"b2292",131,172,136,278,175,220
"b2293",601,607,597,1106,735,937
"b2294",573,550,628,1036,734,868
"b2295",247,253,194,499,310,484
"b2296",1101,1111,1281,2067,1564,1482
"b2297",1620,1741,1658,4186,3053,3373
"b2298",21,29,15,33,30,26
"b2299",393,418,397,659,494,606
"b2300",303,312,289,570,383,408
"b2301",102,109,89,106,89,101
"b2302",47,31,32,47,26,46
"b2303",236,248,223,442,276,457
"b2304",503,463,481,992,626,912
"b2305",85,64,82,97,81,92
"b2306",224,269,193,326,231,256
"b2307",228,279,163,345,268,290
"b2308",340,400,269,624,429,525
"b2309",1502,1849,1486,3242,2266,2372
"b2310",683,722,751,633,403,651
"b2311",142,121,90,156,101,153
"b2312",1862,1899,1426,2359,1870,1960
"b2313",656,651,477,779,605,661
"b2314",295,306,260,472,290,338
"b2315",377,427,317,528,399,490
"b2316",1502,1486,1483,2123,1532,1876
"b2317",396,373,294,602,397,487
"b2318",404,370,395,619,451,613
"b2319",433,433,401,648,482,569
"b2320",584,578,552,963,708,824
"b2321",132,133,115,208,158,144
"b2322",64,82,57,68,50,65
"b2323",3998,3920,4192,2647,1984,2288
"b2324",233,289,245,478,283,412
"b2325",133,143,117,203,128,163
"b2326",274,336,249,447,321,346
"b2327",225,217,153,284,206,242
"b2328",544,603,446,816,626,725
"b2329",1244,1272,1103,1798,1219,1554
"b2330",675,725,735,974,799,984
"b2331",180,168,167,355,291,349
"b2332",143,141,153,256,183,187
"b2333",4,7,9,19,15,9
"b2334",6,6,2,12,9,4
"b2335",6,7,3,8,6,5
"b2336",3,4,5,1,3,6
"b2339",1,5,5,2,0,1
"b2340",294,332,250,532,397,435
"b2341",158,156,138,145,79,121
"b2342",80,84,66,47,25,48
"b2343",157,207,231,334,232,301
"b2344",304,337,280,187,135,158
"b2345",11,31,16,42,19,34
"b2346",498,473,420,639,487,592
"b2347",65,56,55,68,42,52
"b2349",82,91,114,97,107,94
"b2350",159,137,122,173,115,143
"b2351",723,807,621,1010,678,857
"b2352",303,479,302,498,349,379
"b2354",12,22,13,22,22,12
"b2356",0,3,0,0,0,3
"b2357",1,4,1,0,0,1
"b2358",0,0,0,0,0,0
"b2359",4,6,7,7,2,10
"b2360",32,23,20,30,34,33
"b2361",3,3,1,3,1,3
"b2362",5,5,2,9,3,5
"b2363",9,2,5,5,11,2
"b4545",2,0,3,1,0,1
"b4501",37,42,49,58,23,40
"b2364",53,34,32,65,47,52
"b2365",29,25,21,36,26,33
"b2366",113,129,90,138,139,150
"b2367",11,16,12,22,11,24
"b2368",4,14,6,24,12,13
"b2369",203,261,213,746,483,628
"b2370",339,422,307,1102,696,951
"b2371",27,27,6,18,16,11
"b2372",7,19,0,13,7,8
"b2373",24,17,14,36,24,28
"b2374",13,18,13,45,22,18
"b2375",11,8,10,5,7,11
"b2376",2,12,12,18,13,27
"b2377",16,21,20,53,30,47
"b2378",377,883,220,417,213,288
"b4680",9,9,7,26,19,22
"b2379",588,534,567,688,524,598
"b2380",110,118,100,250,140,195
"b2381",111,111,108,259,179,211
"b2382",49,58,54,102,88,89
"b2383",40,57,41,54,44,53
"b2384",14,11,13,21,12,19
"b2385",5,11,8,9,7,22
"b2386",4,8,4,14,8,16
"b2387",0,3,4,1,1,2
"b2388",289,302,295,432,337,369
"b2389",104,121,103,200,113,118
"b2390",273,381,263,700,461,336
"b2392",1590,2056,1645,3844,2960,2038
"b2393",594,585,540,1199,916,1060
"b2394",257,255,220,418,278,373
"b2395",197,199,172,320,224,273
"b2398",73,64,58,119,80,105
"b2399",69,89,66,128,76,94
"b2400",2008,2150,1722,3090,2413,2883
"b2405",44,51,48,102,60,64
"b2406",22,19,16,47,38,44
"b2407",0,6,5,11,5,11
"b2408",18,15,13,35,16,19
"b2409",39,48,45,93,51,55
"b2410",113,117,106,136,103,153
"b4546",20,24,15,39,30,51
